# Experimentally observed CI values
# Use tab-separated columns
#
# In template file all drug combinations are given a CI of 1.0, these must be changed to observed CIs
#
# Based on data in file AGS_MAPK_PI3K_Wnt_NFkB_20140103_OR_variant_with_tweaks.xlsx
# For combinations where a CI could not be calculated, but
# where combination was non-synergistic, a CI of 1.0 is assigned
# 
# CI	Drug1	Drug2
#
0.25	PI	PD
1.0	PI	CT
1.0	PI	BI
1.9	PI	PK
0.98	PI	AK
0.38	PI	5Z
1.0	PD	CT
11.5	PD	BI
0.75	PD	PK
0.10	PD	AK
0.66	PD	5Z
7.3	CT	BI
4.0	CT	PK
0.98	CT	AK
149	CT	5Z
1.0	BI	PK
39	BI	AK
69	BI	5Z
24.1	PK	AK
1.6	PK	5Z
0.31	AK	5Z
1.0	DF	PD
